,qu,qa,ans,is_duplicate
402,why was sweden able to stay neutral,why did sweden successfully stay neutral in world war 2,"Sweden successfully remained neutral because it gave Germany everything it wanted (besides territory obviously).  Swedish mines provided about half of all iron ore used by Germany during the war, so the Nazis were quite happy to leave Sweden alone as long as this trade remained.  Turkey was in a similar position but with chromium.",1
403,do gemstones or rashi stones really work,do gemstones really work,"Yes they work. You should visit JYOTiY - Awakenings or click the link to read when it does not work :Why Rudrakshas, Gems and Mantras do not work?For more information please write to us.Thank you.RegardsJYOTIY",1
404,how can i overcome my fast food addiction,what are some ways to overcome a fast food addiction,"The key is distance.You need to minimize your exposure to fast food. This means don't go near places like food courts if you can help it. Force yourself to eat at home. Get in a habit of it. Learn to cook.If you are not hungry all the time, it will help you keep away from McDonalds.",1
405,are psychopaths atheists mostly,are most psychopaths atheists,What about the psychopaths who persecute/torture/murder heretics because they don't have exactly the right religion? Or just murder people randomly because some of them are from the wrong/no religion?,1
406,what does a crescent moon and star represent in a flag,what does a crescent moon with a star symbolize,It depends on the colours. I could be one of several islamic countries.Star and crescent,1
407,what is roger federer like in real life,how is roger federer off the court,"According to this, he is very humble (parody)Not Roger Federer",1
408,which are some good websites for downloading free english songs,what are the best websites to dowload english songs,Try Page on Qtrax. It's totally free and legal and you can find tons of English music in there.,1
409,how can i impress a girl in the first meeting,what is the best way to impress a girl in a meeting,"Buy Ferrari, big manson, have fame, be billionaire",1
410,how can i go into the breathless state of meditation,how can i go into a breathless state in meditation,Learn the Transcendental Meditation technique as taught by Maharishi Mahesh Yogi. Suspension of breath is one of the indicators of transcending.Learn about the Transcendental Meditation technique. ,1
411,what are the high level procedural programming languages,what are the examples of procedural programming languages,The high level procedural programming languages are as given in the following link:Category:Procedural programming languagesLet me know if there's anything else you need me to Google for you.,1
412,how do i get out of an existential crisis,how do i deal with existential crisis,"Stop Believing Anything Society Has To Tell You (Detachment, Discrimination aka vairagya/viveka)Find A Teacher/Learn About A-Social Relationships (satsanga or sangha)Self-Knowledge/Learn How To Be A Student (Sadhana Chatushtya)Understand what this crisis is intended to teach you, in other words: LEARN THE LESSONReclaim Context In A De-contexualized society (psychology, mythology, silence)",1
413,how do i speak american english well,how can i speak american english well,"Constantly speak it. The more you speak it, the more confident you become.",1
414,what s the difference between faith and hope,what is the difference between hope and faith,"Hope  =  I wish it were, I want it to be so.Faith  =   I know it is so, even though I have no proof.",1
415,why does quora censor opinions and answers,how does quora expect to stay in business when they censor so many things,██████ ██████ ██████ ██████ ██████ ██████ ██████ ██████,1
416,how do you determine the surface area of cuboid,what is the formula needed to calculate the total surface area of a cuboid,"There are 6 faces of a cuboid. The surface are of a cuboid is equal to the sum of the areas of the 6 faces. A cuboid has a length, a width and a height.L = lengthW = widthH = heightsurface area = 2(LW + WH + HL)",1
417,what is it like living in phuket thailand as an american,what s it like living in phuket thailand as an american,There are many Americans living in Phuket and Thailand. As far as I know they also have some privileges when it comes to open up a company or business. Of course cost of living is very low comparing back home but that's the case for many other nationalities. I think you should at least try to spend a bit time in Phuket before you decide to settle down and see how you feel.,1
418,can orthofill fix my teeth gap,how does orthofill fix teeth gap,"Speaking of teeth gaps, there surely is a solution for that. Orthofill will make that possible. Orthofill Bands gives the best solution as an alternative in closing your teeth gap. It surely is affordable and worth the price. Every Teeth Gap will surely be fixed, Orthofill offers Single Gap and Multiple Gaps Packages. Get yours now, visit www.orthofill.com for more info.",1
419,what are the best innovative strategies ideas to open retail chain shops in india,what are some tips for starting a retail chain store in india,At present retailers need to be supple and creative. To start a retail chain in India you need to have a cloud based solution which will give a moneymaking way a network of businesses.,1
420,what is one of the best conversation starters,what are good conversation starters,Sheldon's style(Though it's not a question),1
421,how should i stop being insecure,how can i stop being so insecure about myself,It is a decision you make.You have a right not to be perfect. You have a right to make mistakes. You have a right to sometimes fail. You have a right to see that some people are better than you.You just have an obligation to do your best and to be happy.You are entitled to respect.How does that sound?,1
422,will i improve my memory power,how can i improve my memorizing ability,Written few days backPrakash Kushwah's answer to What is the best way to memorize anything you read?,1
423,race relations how do japanese people feel about black people in general,how are black people perceived in japan,"They believe in stereotypes about black people and wouldn't to know about them because they think they're rude, stupid, big, violent, and scary. If you're black japan is not a good place for you.",1
424,what is the most evil thing you have done in your life,what is the most evil thing you have ever done,I haven't done this but would love to try it someday on my friends !! This is evil redefined !!,1
425,what is the stopping power from a 50cal desert eagle with a 300 grain hollow point,it s it feasible to survive a shot in the head or the heart with a desert eagle 50ae at close range when 300 grain hollow points are used,"No. At ~1500 ft/lbs of energy, even if you manage to stop the round from penetrating the energy transfer would mush your brains. This is true for most common cartridges today, which is why things like BulletSafe's Bulletproof hat are such a silly idea.",1
426,i just found out that i have bipolar disorder what should i do about it,i just figured out i have bipolar disorder what should i do about it,I really think you should see a doctor and explain to him/her how you feel. Your doctor will be able to tell you if you need to visit a psychiatrist or not.,1
427,which do you think is worse saying something and wishing that you hadn t or saying nothing and wishing that you had why,have you ever wondered which hurts the most saying something and wishing you had not or saying nothing and wishing you had,"More patients internal burns tend to be regrets for what they didn't do, rather than the making of mistakes. The mistakes are noisier but the non action ties to other levels of self.",1
428,what is the procedure to apply for a job in the un,what is the procedure to work at the un,"Check out vacancies in all UN departments here - More than 15000 jobs, career opportunities. Or if you prefer vacancies in some countries choose here - More than 15000 jobs, career opportunities",1
429,two cards were drawn without replacement from a pack of 52 cards what is the probability that they are both kings or both queens,two cards were drawn without replacement from a pack of 52 cards what is the probability that they are both kings or both queen,"When you draw two cards at random you can choose it in 52C2 ways! Each pack of cards contain 4 aces, each from a suit! So the probability is= 4C2/52C2",1
430,why do people say god bless you,why do they say god bless you when you sneeze,"Here is a fact,The saying, ""Bless You"", after a sneeze comes from the 14th century Pope Gregory the VII, who asked for it to be said after a sneeze in order for it to protect him against the plague.Source: Why people say 'bless you' after a sneezeImage source: https://www.google.co.in/search?...:",1
431,why does the obama administration use the term isil while everyone else including the terrorists themselves use is or isis,why does obama say isil instead of isis,"Because that would be recognizing their sovereignty, or at least legitimacy, which no one does.",1
432,which dth offers the most hd channels,which dth has maximum hd channels in india,As of Jan 2019 here is list of all HD channels available on different DTH providers.,1
433,as a woman are you ever physically attracted to men who are short eg 5 5,do women find short men unattractive,"Definitely. In fact, it's a woman's second biggest turn-off (next to whininess). Only 4% of women are willing to date short men.http://citeseerx.ist.psu.edu/vie...",1
434,what is the best procedure to whiten your teeth,which is the best procedure to whiten and straighten teeth,I recommend you find an orthodontist that uses Invisalign to straighten your teeth. Additionally the aligners can be used as a whitening tray. You can purchase the whitening gels on amazon for a great deal. I recommend the ultradent brand. Straighten and whiten at the same time!,1
435,what are the top 10 tv series one should genuinely watch,what are the top 10 best tv series of all time,Visit CrunchyFeed for more Tech-Entertainment Stuff.,1
436,which is the best post graduate medical entrance exam coaching centre in india,which is the best coaching class for the preparation of medical entrance exams in india ug and pg,What is the best option for a student graduating grade 12 abroad and is interested in doing medicine in India?,1
437,did you have an imaginary friend as a kid,do you have an imaginary friend that you talk to,I did not have an imaginary friend. But I did imagine I had real friends. So there's that.,1
438,what is the best brand of puppy food for bulldogs,what s the best puppy food for my 8 week old dachshund,"Any food that contains no artificial stuff and by-products should be good for your furry friend, you can find detailed guide here: Best Puppy Food - Buying Guide",1
439,how much does it cost to learn at oxford aviation academy,how much does it cost to study in oxford aviation academy,Most schools publish their fees on their websites. Auntie Google is your friend.Fees and Funding - Integrated ATPL Program - Oxfordhttp://www.caeoaa.com/uploadedFi...,1
440,do animals experience romantic love,do animals other than humans experience love,"When I was growing up, my family had a dog, Petra, and a cat, Monty. They evidently loved each other. Sometimes Petra would be sleeping and Monty would come in, see her and run over to her and snuggle up to her. Petra would momentarily wake up, look up to see what was going on, realise that it was Monty, give a deep, satisfied sigh, and settle back to sleep.",1
441,do you believe in fate or free will,do you believe in free will or destiny why,"Before you were born into the world, you took part in planning the events and circumstances that you will encounter in life. Here, you exercised your free will when you agreed to the Plan.The Plan once agreed to by all other involved parties becomes your fate or destiny.The Secrets of the Kingdom",1
442,what are some tv shows as good as breaking bad,what other tv series are as good as breaking bad,"The Shield (TV series) - LA police drama with morally ambiguous characters, much like Walter White. Addictive story arcs across episodes and seasons.",1
443,what is the difference between pgdm and pgpm,what is the difference between pgpm and pgdm,"The difference is in the name. PGDM stands for Postgraduate Diploma in Management, PGPM stands for Post Graduate Programme in Management. They are equivalent.",1
444,which is the best camera quality phone,smartphones what is the best phone camera at the moment,I will go with Samsung S7. The camera can focus on anything in a split second and offers good low light photography. LG G5 camera is not far behind and the only situation where it lags a bit is low light photography. You wouldn't regret buying any of these two and these should be good for a few years as well.,1
445,is it possible to change eye colour naturally,what can natrully change your eye color,"Nope, sorry no way possible. It'll lighten naturally with old age, and contacts give that temporary change. But if you want a permanent change, surgery is the only option. Read this on how to get slight, temporary changes:How to Change Your Eye Color Naturally",1
446,how do i write a cover letter,how can one write the perfect cover letter step by step,This video helps you to know about the importance of cover letter in any company's hiring process. Highlights:1. What is a cover letter?2. Is it important?3. How to write the best cover letter4. Sample of a cover letter https://drive.google.com/file/d/1qKeA...#HowtoimpressHR #Interviewtips #freshersjobs #coverletterwriting #freshersinterviewtips #tipstocrackanyinterview,1
447,what is your most viewed quora question,what is the all time most viewed question on quora,Now.See What are some good ways to get people to answer my questions on Quora?,1
448,so how can i get meth to be flush out of body in 2 hours before a urine drug test,is there any pill you can buy to flush meth out of your system for a drug test,"Is simply not doing meth an option here?If it's not, then I have no answer for you. Except stop doing meth. I mean, really. Stop doing it.",1
449,which are some of the best web series to watch,what are the best web series to watch,In case you are looking for Indian Content.,1
450,why do people believe hillary clinton is dishonest,why is hillary clinton a pathological liar,From Freedom of Tyranny's page. Thanks to Ryan Wagner.,1
451,why do you downvote answers,how do i use downvote correctly,"Downvotes should only be utilized if the answer appears to be ""trolly.""In other words, if an answer makes no sense or is overwhelmingly negative, then a downvote is reasonable.By the way, the purpose of a downvote is to collapse answers. Unless your intent is malicious I don't think it's a good idea to just downvote anything that irks you.",1
452,why are some people incredibly insecure,why are so many people insecure,"Information overload! Many talented individuals are intellectual in their particular field, so they are aware of many more things at once than someone uninformed. So, after a period of time, their mind will not stop thinking of all possibilities for success and failure as well. This is quite stressful.",1
453,how is life in prison,what is it like in prison,"Only 4 states have such visits. New York is one that is where I am from . My husband and I are legally married and the visits come in 12 or 24 hour lengths in a private apartment like setting with in the jail. A trailer of sorts within the jails fences. Condoms and sheets and a bed and towels are provided , food is not and u can bring ur own .",1
454,what is subsistence agriculture and what are some examples,what are some examples of subsistence farming,"The major examples of subsistence farming are growing of fruits , vegetable, rice , etc. It usually done to fullfill the farmer's family need not for selling.",1
455,why are cells small and not large,are small cells better than large why or why not,"As the volume of the cell increases, the ratio of surface area to volume decreases.This chart sums it up well:Here's an experiment that most entry level biology classes do (if their program is any good).",1
456,who in your opinion is the most attractive man on game of thrones,who is the most handsome man on game of thrones,"Jason Momoa aka Khal DrogoHealthy physique, fine body and smart uphold of character Khal Drogo.A very handsome man indeed.",1
457,how can i search answers and questions in quora,how do you search on quora,Google search --> http://www.google.com/#sclient=p...,1
458,what is a consultant and what do they do,what does a business consultant do,"Services provided by Ideate Consultancy of Jaipur are best and satisfactory. Their services includes End to End Accounting, Internal Audit, Reporting & Analysis, SME Financing, Startup Consultancy and Tax Consultancy. Ideate Consultancy aims to help the clients in achieving their full potential by letting them focus on the core areas of the business.",1
459,can i hack google,how can someone hack google,For the sake of argument 21 Google Search Hacks That Will Change Your Life,1
460,which is the best institute for software testing in delhi ncr,which is the best software testing institute in delhi ncr,Read 'foundation of software testing' by (Rex black)... It will help you understand the subject in detail.,1
461,have the ellectoral college members ever voted differently then the popular vote suggested they should vote,when has the electoral college voted against the popular vote,"The electoral college largely votes along popular lines - literally almost always. It's very rare that an electoral vote does not go how the popular vote went for that particular voting district.That said, HOW MUCH each Electoral vote division was won by can make it so that someone can collect a higher number of total popular votes (the entire country's added up) and still lose the election.",1
462,what are some great beginner ways to learn javascript,what are some of the good sites to learn javascript,A re-introduction to JavaScript (JS tutorial),1
463,how does 1 billion rising stop violence against women,how can we end violence against women,"No one now living will see the end of it, if it ever comes at all.",1
464,how do you think about wealthy affiliate,did you have any success at wealthy affiliate,"Jeremy P. Harrison, CEO at Hustle Life (2016-present)",1
465,is hummus high in calorie like bread,is hummus high in calories,"It's not low in calories since a major ingredient is olive oil, but if you eat it with veggie sticks, it's a pretty balanced snack/meal since it provides good fats, protein from the chickpeas, and lots of vitamins and water from the veggies (simple carbs).",1
466,what are some of the best ways to promote your blog,what are the most effective ways to promote a blog,Try using SEOPaid Ads by Quora and twitter Ads,1
467,how do i learn basics of stock market,how do you join and start investing into the stock market,First go through this basic books. Once your concept about money and life is clear then you can get into more in depth books.Please click CapitalQuotient: A financial platform built to secure your future. to know more now!,1
468,how can i start learn computer science and programming,what should we do to start learning about computer science,A2A. What should we do to start learning about computer science?I recommend you take an introduction to computer science course. I recommend CS50's Introduction to Computer Science that you can audit for free.,1
469,what is the best coffee substitute,what are some substitutes for coffee filters,"My grandmother introduced me to Postum, a wheat-based coffee alternative that was popular during the Great Depression and World War II rationing.  Unfortunately it was discontinued in 2007 but one can still find deadstock on the web.http://en.wikipedia.org/wiki/Fil...",1
470,what is the silliest thing you ve fought over with someone,what is the silliest thing you ve ever fought about,"It was an argument, not a fight. A parking garage fee.We went into the garage, drove around without finding a spot and emerged 10 minutes later where the booth attendant tried to charge me 30 bucks.No way.I stood my ground and they opened the gate and I left.",1
471,which is the true lorem ipsum,what does lorem ipsum mean,Lorem Ipsum is a dummy text commonly used as a placeholder for a real text. You can use tool wich generate it automatically with various length of content:Lorem Ipsum Generator,1
472,what websites do you use to watch tv shows,what s the best free website to watch tv show,http://www.filmsvostfr.org/serie...it's the best for me,1
473,what is it like to have a father,how was the feeling of having a father,"It is the most wonderful feeling, I couldn't imagine my life w/out him. He is very supportive of me and loves me very much. He teaches me things no one else taught me. (Like fishing, hunting, etc..) and is just idk… It is so hard to explain. Now don't think it is all easy for  me… What is it like having a mom?",1
474,what are some fun board games for adults,what are some interesting board games for adults,I like:Settlers of Cataan - A resource gathering/spending game.Dominion - A competitive deck building gameCheck out Gaming Unplugged Since 2000 for more options/reviews/etc.,1
475,how do i get a job in tcs,how do i get a placement in tcs,U can register yourself with campus commune portal of participate in many online coding competitions which are organised by TCS,1
476,what is it that we as indians are collectively doing right,what is that we as indians are collectively doing right,"Keeping the democracy alive and kicking.Look at this democracy index map. Among Asian countries, India is the only country that can boast of a functioning democracy.Source:Democracy Index",1
477,what are the most annoying types of questions on quora,what are the most annoying questions you see on quora,"Hey guys, I'm a man on the verge of dying of old age. Is it ok for me to date an elementary student?In other words. I'm a 93 year old man, can I date a 16 year old?I'm not even exaggerating, this is a question I've seen on Quora. It's been taken down now.Seriously?It's just messed up…",1
478,would you marry a non virgin woman,why would you marry a non virgin,"Non-virgin woman can never love whole hardheartedly. Been there, seen that.Marry a virgin only if you respect yourself and institution of marriage.",1
479,what can be done to keep the streets clear of stray dogs in india,what can we do with stray dogs in india,You got a problem? You get rid of yourself. They are not your property and you have no rights to think about getting rid of them. Thankfully the law supports this. Leave India if stray dogs are a menace for you.,1
480,do i look more accurate in a mirror or picture,how can i know wether i look better on mirror or on pictures,"If 'by a picture' you mean a photograph then a photograph is the most realistic.A mirror reverses the image, a photograph doesn't.Your face isn't the symmetrical.If you take a photo and manipulate it with Photoshop, so that you have two images, one with two left sides and another with two right sides, you will see a distinct difference between the two.",1
481,i want to know people checking on my whatsapp profile,is it possible to know if someone saw my whatsapp profile,Yes i want to see who checks my whatsapp,1
482,why does my left eye keep twitching involuntarily,why won t my left eye stop twitching,"It sounds like a Tic, often induced by being nervous.Edit: according to Dr. Raghuraj S. Hegde it is Ocular Myokymia.Thank you, Raghuraj!",1
483,i want to get married and bring my wife to america on dependent visa how much time will it take to get marriage certificate in india goa,how much time does it take to get a marriage certificate in india,It depends on the state i guess.As the process which I had gone through one needs to register 30 days in advance before the registrar office and then get it registered.See this link ​How to register your marriage - Times of India,1
484,what is marianas web,what is mariana web,To add to other answer by Rahul KeerthiMarianas Web is a troll concocted by ...... 4chan obviously.,1
485,what are some projects a mechanical engineer can take up for his her b tech major project,what would be some final year projects for mechanical engineering b tech students,If your college allows research project as final year project then give your mail I'd..,1
486,is the queen of the england a good person,what is queen elizabeth ii like in person,"Well as I have no direct social knowledge of her behaviour I have to rely on the received wisdom of people who have. The royalist press would say that she is warm and kind, especially in private while republicans think her distant and cold. Believe what you will.",1
487,what is a list of all currently active quora knowledge prizes,where do i find a list of knowledge prizes to answer,I have a list of all active knowledge prizes here: Active Knowledge Prizes by Renato de Angelis on Knowledge Prizes I will try to keep it updated as best I can. ,1
488,would hillary get women s vote just because she s a female,what percentage of hillary clinton s supporters has voted for her just because of her gender,"Have you listened to trump, and you ask why am I voting for Hillary.... Lol not due to her gender.",1
489,how do i contact someone on quora,how can i directly contact a person on quora,How can I send a private message through Quora?,1
490,do turkish people dislike arabs,turkish people why do you dislike arabs i know this because i and every one of my friends encountered hate there this can t be a coincidence,No we don't hate Muslims. Because we are Muslim.,1
491,hypothetically if yahoo answers and quora went to war who would win and why,if yahoo answers and quora fought a war who would win,"In any 10 question smackdown Quora would likely win the truth/relevant answer points 8/10 times.Yahoo Answers would get almost all the points for regurgitating urban legends, pseudoscience and getting stains out of couches.",1
492,how different would the world be if hitler never existed,how would the world be different today if hitler had never born,"Obviously…more or less the same.If Hitler not commit suicide, he will be arrested by Soviet troops. After that he either lynched by angry Red Army soldiers, or summarily executed by order from a local commander, or executed later after some showy trial at Nuremberg.He will be dead nonetheless.",1
493,how are the number of views on quora counted,how are quora views counted,"The first, generally. Your answer was actually viewed, sufficiently to count as a view (and not just a scroll-past).",1
494,what is the name of ram chandra series 2 and when it is going to be released,when is ram chandra series 2 going to be released,"Sadly, Amish has not seen fit to release neither the title, cover, nor the release date as of now.He has, however stated in his tweets that he has started writing :)",1
495,how do i hack my wife s whatsapp account,how can i hack my spouse whatsapp account,"A lot of straight up wrong answers here. If you are looking to hack the encryption that encrypts the messages, no.If you are talking about social engineering to make someone believe they are talking to someone else, or brute force guessing a password, possibly.",1
496,what is the scope or value for an automobile engineer in india,what is the scope of automobile engineering in india,"Very limited, Unless you follow up with a Masters degree or MBA.",1
497,how do i recover from failure,how can i recover from failure,HeyLet's take up failures like they did so. Pictures speak thousand wordsSo that's my motivation. That's why am inspiredPicture source: Facebook:)Shaun,1
498,what is the function of a hard drive,what is a desktop hard drive what function does it serve,"It stores data permanently even when power is removed, so your files and stuff and if you dont have an SSD your computer will probably have your operating system on it.",1
499,what are the reasons to divorce,what might be the reason if you were to divorce,"Nagging. Nagging destroys relationships.Talk to each other, don't nag.",1
